VoiceCommand,Time,RCCommand
"command",0,"command"
"hover",0,rc 0 0 0 0
"emergency",0,emergency
"takeoff",0,takeoff
"land",0,land
"turn left",0,rc 0 0 0 0
"turn left",93.9996913075447,rc 0 0 0 11
"turn left",194.999948143959,rc 0 0 0 62
"turn left",295.999576337635,rc 0 0 0 97
"turn left",395.999662578105,rc 0 0 0 99
"turn left",495.999748818576,rc 0 0 0 0
"turn left little",0,rc 0 0 0 0
"turn left little",101.99979878962,rc 0 0 0 66
"turn left little",189.999723806977,rc 0 0 0 99
"turn left little",289.999810047447,rc 0 0 0 99
"turn left little",325.99966507405,rc 0 0 0 0
"turn left lot",0,rc 0 0 0 
"turn left lot",95.0004905462265,rc 0 0 0 7
"turn left lot",194.999948143959,rc 0 0 0 80
"turn left lot",296.000204980373,rc 0 0 0 99
"turn left lot",396.000291220843,rc 0 0 0 99
"turn left lot",496.000377461314,rc 0 0 0 99
"turn left lot",597.00000565499,rc 0 0 0 99
"turn left lot",697.000091895461,rc 0 0 0 99
"turn left lot",797.000178135931,rc 0 0 0 99
"turn left lot",897.000264376401,rc 0 0 0 99
"turn left lot",997.999892570078,rc 0 0 0 99
"turn left lot",1097.99997881054,rc 0 0 0 99
"turn left lot",1198.00006505101,rc 0 0 0 99
"turn left lot",1298.00015129148,rc 0 0 0 99
"turn left lot",1334.00000631809,rc 0 0 0 0
"turn right",0,rc 0 0 0 0
"turn right",87.9999250173568,rc 0 0 0 -92
"turn right",189.000181853771,rc 0 0 0 -100
"turn right",289.000268094241,rc 0 0 0 -100
"turn right",389.000354334712,rc 0 0 0 -100
"turn right",440.000253729522,rc 0 0 0 0
"turn right little",0,rc 0 0 0 0
"turn right little",87.9999250173568,rc 0 0 0 -32
"turn right little",189.000181853771,rc 0 0 0 -100
"turn right little",282.999873161315,rc 0 0 0 0
"turn right lot",0,rc 0 0 0 0
"turn right lot",93.0001493543386,rc 0 0 0 -52
"turn right lot",193.999777548015,rc 0 0 0 -100
"turn right lot",293.999863788485,rc 0 0 0 -100
"turn right lot",393.999950028955,rc 0 0 0 -100
"turn right lot",494.000036269426,rc 0 0 0 -100
"turn right lot",595.00029310584,rc 0 0 0 -100
"turn right lot",694.999750703573,rc 0 0 0 -100
"turn right lot",794.999836944043,rc 0 0 0 -100
"turn right lot",894.999923184514,rc 0 0 0 -100
"turn right lot",996.000180020928,rc 0 0 0 -100
"turn right lot",1096.00026626139,rc 0 0 0 -100
"turn right lot",1195.99972385913,rc 0 0 0 -100
"turn right lot",1250.00013504177,rc 0 0 0 0
"go back",0,rc 0 0 0 0
"go back",93.9996913,rc 0 -28 0 0
"go back",194.9999481,rc 0 -91 0 0
"go back",295.0000344,rc 0 -99 0 0
"go back",395.9996626,rc 0 -99 0 0
"go back",495.9997488,rc 0 -99 0 0
"go back",595.9998351,rc 0 -99 0 0
"go back",706.9999119,rc 0 -99 0 0
"go back",796.9995495,rc 0 -99 0 0
"go back",896.9996357,rc 0 -99 0 0
"go back",996.999722,rc 0 -99 0 0
"go back",1076.9995395,rc 0 0 0 0
"go back",1351.9999338,rc 0 -31 0 0
"go back",1353.9996464,rc 0 0 0 0
"go back little",0,rc 0 0 0 0
"go back little",98.9999156,rc 0 -37 0 0
"go back little",201.0003431,rc 0 -98 0 0
"go back little",300.9998007,rc 0 -99 0 0
"go back little",321.0000694,rc 0 0 0 0
"go back little",1946.0000563,rc 0 29 0 0
"go back little",1959.9999301,rc 0 0 0 0
"go back lot",0,rc 0 0 0 0
"go back lot",91.9999788,rc 0 -54 0 0
"go back lot",192.000065,rc 0 -99 0 0
"go back lot",292.9996932,rc 0 -99 0 0
